YEAR,MONTH,METFIPS,wfh_pct
2022,10,12420,0.6065943536033037
2022,10,16980,0.5052402018556883
2022,10,19100,0.44944534029070554
2022,10,26420,0.3745352790565683
2022,10,31080,0.3872425451394068
2022,10,35620,0.4363058443563125
2022,10,37980,0.5492728548477465
2022,10,41860,0.7032351705552732
2022,10,41940,0.7975082792117024
2022,10,47900,0.5097688893119876
2022,11,12420,0.6829799351331345
2022,11,16980,0.4857676518983944
2022,11,19100,0.3998939068774975
2022,11,26420,0.3536629625978596
2022,11,31080,0.451498065040748
2022,11,35620,0.44999479055271685
2022,11,37980,0.5303457220377147
2022,11,41860,0.6301607692663329
2022,11,41940,0.7349706669743084
2022,11,47900,0.5533907682791388
2022,12,12420,0.7521376143171672
2022,12,16980,0.458424990609178
2022,12,19100,0.39764537773936204
2022,12,26420,0.36133172671543706
2022,12,31080,0.379780116909124
2022,12,35620,0.4749299407847158
2022,12,37980,0.44315707676167854
2022,12,41860,0.637280112061476
2022,12,41940,0.5245268788027546
2022,12,47900,0.5485101625923805
2023,1,12420,0.7158493444843849
2023,1,16980,0.5694539371595598
2023,1,19100,0.3841112070034027
2023,1,26420,0.32503726210156114
2023,1,31080,0.4588456150643121
2023,1,35620,0.4813942466544466
2023,1,37980,0.4813917856464834
2023,1,41860,0.6300055120610921
2023,1,41940,0.570378690640352
2023,1,47900,0.5821154025354632
2023,2,12420,0.7354404522644203
2023,2,16980,0.5451849422881211
2023,2,19100,0.42833195072034724
2023,2,26420,0.3896563536628638
2023,2,31080,0.4521234040474926
2023,2,35620,0.46063122065249434
2023,2,37980,0.6122750744988308
2023,2,41860,0.656771876510374
2023,2,41940,0.5129130590512988
2023,2,47900,0.584566672487379
2023,3,12420,0.6888858800477571
2023,3,16980,0.43452528546996244
2023,3,19100,0.4247108042484429
2023,3,26420,0.363582193064856
2023,3,31080,0.4130367328837172
2023,3,35620,0.4603297795824076
2023,3,37980,0.5526232270129907
2023,3,41860,0.6577553087721975
2023,3,41940,0.4846556104250772
2023,3,47900,0.5641544546989439
2023,4,12420,0.7047754275829431
2023,4,16980,0.4518378601695039
2023,4,19100,0.4006120402804603
2023,4,26420,0.39180243830552086
2023,4,31080,0.4166132090751067
2023,4,35620,0.43927144838577004
2023,4,37980,0.49439636328679354
2023,4,41860,0.6239621107420782
2023,4,41940,0.5087809103814223
2023,4,47900,0.5693387773652631
2023,5,12420,0.6295480738455519
2023,5,16980,0.45768663740769466
2023,5,19100,0.43552117954930397
2023,5,26420,0.3574119983179742
2023,5,31080,0.423563836581358
2023,5,35620,0.44293424504637985
2023,5,37980,0.5448720153656269
2023,5,41860,0.6665875507225663
2023,5,41940,0.48762355150104114
2023,5,47900,0.597361336630181
2023,6,12420,0.5695589170013885
2023,6,16980,0.45761340099434145
2023,6,19100,0.4663845605311447
2023,6,26420,0.30600162471253556
2023,6,31080,0.45110143139678527
2023,6,35620,0.4014520670240711
2023,6,37980,0.5451323000435185
2023,6,41860,0.6347425398976758
2023,6,41940,0.5695598823220768
2023,6,47900,0.5878012816223993
2023,7,12420,0.5535867519746355
2023,7,16980,0.48010011973879296
2023,7,19100,0.4846796629660902
2023,7,26420,0.3032949946684348
2023,7,31080,0.42557770890684454
2023,7,35620,0.46616428649974617
2023,7,37980,0.6452603213552714
2023,7,41860,0.6625948616291113
2023,7,41940,0.6553720607251334
2023,7,47900,0.6466810475828865
2023,8,12420,0.5731430851006917
2023,8,16980,0.48323330453566915
2023,8,19100,0.4930329825126323
2023,8,26420,0.25570517845852586
2023,8,31080,0.4441759823412614
2023,8,35620,0.4920729795436518
2023,8,37980,0.6358819319781621
2023,8,41860,0.6564579998155702
2023,8,41940,0.716612023133069
2023,8,47900,0.6127476896434344
2023,9,12420,0.659666792208533
2023,9,16980,0.4145003539920551
2023,9,19100,0.5241658856804426
2023,9,26420,0.2774230798190753
2023,9,31080,0.45977894845169964
2023,9,35620,0.45482962484811557
2023,9,37980,0.5858645156152947
2023,9,41860,0.5641629428891307
2023,9,41940,0.6195758610566446
2023,9,47900,0.5799207461828628
2023,10,12420,0.6731087245033569
2023,10,16980,0.4429803834010273
2023,10,19100,0.49090323468393043
2023,10,26420,0.40506465249939716
2023,10,31080,0.4763401626127538
2023,10,35620,0.5018627343384605
2023,10,37980,0.5778887459954773
2023,10,41860,0.5485613718936152
2023,10,41940,0.6171554593745757
2023,10,47900,0.5496508711116993
2023,11,12420,0.537448357784085
2023,11,16980,0.5021556735555883
2023,11,19100,0.4851488502719016
2023,11,26420,0.4174793132372378
2023,11,31080,0.5081571787575629
2023,11,35620,0.5029364944590894
2023,11,37980,0.5198789817067877
2023,11,41860,0.6469643402021019
2023,11,41940,0.5988519777542729
2023,11,47900,0.5823720281709355
2023,12,12420,0.6145694638896984
2023,12,16980,0.5539536060465213
2023,12,19100,0.47183670243818193
2023,12,26420,0.5113708323889425
2023,12,31080,0.4742429047259473
2023,12,35620,0.5031314298455453
2023,12,37980,0.5795301616465419
2023,12,41860,0.5673705989656397
2023,12,41940,0.5434038456068384
2023,12,47900,0.5785460419022233
2024,1,12420,0.6522335063518433
2024,1,16980,0.5354260629382989
2024,1,19100,0.4917952881127785
2024,1,26420,0.5061664399900484
2024,1,31080,0.4808191373038685
2024,1,35620,0.5134700006444136
2024,1,37980,0.5655227083952055
2024,1,41860,0.620577281862137
2024,1,41940,0.6547039997507211
2024,1,47900,0.578648889741046
2024,2,12420,0.5836251194157414
2024,2,16980,0.5516621879471053
2024,2,19100,0.44776537072061406
2024,2,26420,0.505711238408941
2024,2,31080,0.4962634251644614
2024,2,35620,0.5392231087218073
2024,2,37980,0.5223717384032228
2024,2,41860,0.6345586709694276
2024,2,41940,0.6463816234625832
2024,2,47900,0.5638270772284559
2024,3,12420,0.7212852067856572
2024,3,16980,0.55131275436162
2024,3,19100,0.4862004811079331
2024,3,26420,0.43987117716234553
2024,3,31080,0.5298936514843622
2024,3,35620,0.4878114278503441
2024,3,37980,0.5960942272960817
2024,3,41860,0.6626468442513481
2024,3,41940,0.7091842819567995
2024,3,47900,0.5527886622226057
2024,4,12420,0.6299246582909441
2024,4,16980,0.549795827808421
2024,4,19100,0.5272127203122501
2024,4,26420,0.4286745655148778
2024,4,31080,0.5132734308814995
2024,4,35620,0.4553550459087335
2024,4,37980,0.5492949083637056
2024,4,41860,0.5695555649285334
2024,4,41940,0.5999832887252283
2024,4,47900,0.5790215834738823
2024,5,12420,0.6616011781211878
2024,5,16980,0.5910480794823649
2024,5,19100,0.5681873636535821
2024,5,26420,0.3669583625556466
2024,5,31080,0.4920821175381968
2024,5,35620,0.5094542167598871
2024,5,37980,0.5837361521485993
2024,5,41860,0.5645156824773448
2024,5,41940,0.578942339337666
2024,5,47900,0.6372232116204577
2022,10,1,0.41268128458002573
2022,11,1,0.4257435686611793
2022,12,1,0.4272771455761259
2023,1,1,0.4398339535381282
2023,2,1,0.4471462014414782
2023,3,1,0.42650026851125805
2023,4,1,0.41823592634635853
2023,5,1,0.4259296724626282
2023,6,1,0.41787098407497125
2023,7,1,0.43954764859971057
2023,8,1,0.43292800357623334
2023,9,1,0.4391806145262287
2023,10,1,0.44630846492582726
2023,11,1,0.4618938565603393
2023,12,1,0.4808599040703274
2024,1,1,0.48405308041494977
2024,2,1,0.4839009411561616
2024,3,1,0.4977961085280751
2024,4,1,0.4712495530082295
2024,5,1,0.47475689535749604
